fips,county,state,longitude,latitude,population,cases_total,imported,local,unvaccinated or unknown,unvaccinated,unknown,vaccinated,vaccination granularity,less than four,five to seventeen,adult,age unknown/pending,mmr_rate,mmr_type,date,outbreak,notes,link,unnamed: 19
8031,Denver,Colorado,-104.8758,39.762,713734,3,2,1,0,1,1,1,county,1,0,2,0,,,4/25/25,,"Added 1 new cases on April 25th. a Denver County adult resident. The individual recently traveled to an area of Chihuahua, Mexico, which is experiencing an ongoing measles outbreak. The individual has verified vaccination records for MMR.",https://cdphe.colorado.gov/press-release/fifth-confirmed-measles-case-in-colorado-adult-with-recent-international-travel,
8031,Denver,Colorado,-104.8758,39.762,713734,2,1,1,0,1,1,0,county,1,0,1,0,,,4/23/25,,adult,https://drive.google.com/file/d/1556fx0v0uM1Uys2nbogA5up8h0JUwV5_/view,https://www.cpr.org/2025/04/23/4th-measles-case-colorado/
8031,Denver,Colorado,-104.8758,39.762,713734,1,1,0,0,1,0,0,county,1,0,0,0,,,4/7/25,,"First case, travel to Mexico, an unvaccinated Denver County infant resident under 1 year old",https://cdphe.colorado.gov/press-release/one-measles-case-confirmed-in-coloradan-with-recent-international-travel,
8077,Mesa,Colorado,-108.4664,39.0183,157316,11,0,11,0,1,10,0,county,0,0,11,0,,,10/15/25,,,https://cdphe.colorado.gov/dcphr/measles-information,
8077,Mesa,Colorado,-108.4664,39.0183,157316,7,0,7,0,1,6,0,county,0,0,7,0,,,8/30/25,,,https://cdphe.colorado.gov/dcphr/measles-information,
8077,Mesa,Colorado,-108.4664,39.0183,157316,2,0,2,0,1,1,0,county,0,0,2,0,,,8/18/25,,"The adult, whose vaccination status is unknown, may have had a common exposure with the first Mesa County case reported last week.",https://cdphe.colorado.gov/press-release/public-health-officials-release-information-on-potential-measles-exposures-1,
8077,Mesa,Colorado,-108.4664,39.0183,157316,1,0,1,0,1,0,0,county,0,0,1,0,,,8/15/25,,"The case is an unvaccinated adult
who has not traveled.",https://drive.google.com/file/d/1ibv87KqrS-ErklMV2XowE9WiTduXdnik/view,
8083,Montezuma,Colorado,-108.5966,37.3386,26204,4,0,4,0,0,4,0,county,0,0,0,4,,,12/15/25,,,https://cdphe.colorado.gov/diseases-a-to-z/measles/2025-case-information,
8083,Montezuma,Colorado,-108.5966,37.3386,26204,2,0,2,0,0,2,0,county,0,0,0,2,,,12/5/25,,,https://cdphe.colorado.gov/diseases-a-to-z/measles/2025-case-information,
8083,Montezuma,Colorado,-108.5966,37.3386,26204,1,0,1,0,0,1,0,county,0,0,0,1,,,11/13/25,,,https://cdphe.colorado.gov/diseases-a-to-z/measles/2025-case-information,
8101,Pueblo,Colorado,-104.5127,38.1735,168726,1,1,0,0,1,0,0,county,0,0,1,0,,,3/31/25,,"First case, travel to Mexico, an unvaccinated adult Pueblo, Colorado resident.",https://cdphe.colorado.gov/press-release/one-measles-case-confirmed-in-colorado-resident-with-recent-international-travel,
8005,Arapahoe,Colorado,-104.3393,39.6498,655709,1,0,1,0,0,1,0,county,0,0,0,1,,,5/13/25,,,https://cdphe.colorado.gov/dcphr/measles-information,
8123,Weld,Colorado,-104.3925,40.5548,340711,1,0,1,0,0,1,0,county,0,0,0,1,,,12/15/25,,,https://cdphe.colorado.gov/dcphr/measles-information,
9170,South Central Connecticut,Connecticut,-72.8445,41.3613,566803,1,0,1,0,1,0,0,county,0,1,0,0,,,12/11/25,,an unvaccinated Fairfield County child under the age of 10.,https://portal.ct.gov/dph/newsroom/press-releases---2025/measles-case-in-connecticut?language=en_US,
11001,Washington,District of Columbia,-77.0163,38.9047,672079,1,1,0,0,0,1,0,county,0,0,0,1,,,6/14/25,," DC Department of Health (DC Health) has been notified of a confirmed case of measles in an international traveler who recently arrived in Washington, DC. DC Health is notifying individuals who were at the following locations that they may have been exposed to the virus.",https://dchealth.dc.gov/release/health-officials-investigation-measles-case-dc,
12031,Duval,Florida,-81.6715,30.3313,1007189,5,0,5,0,0,5,0,county,2,2,0,1,,,1/21/25,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency,
12031,Duval,Florida,-81.6715,30.3313,1007189,1,0,1,0,0,1,0,county,0,0,0,1,,,8/16/25,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency,
12073,Leon,Florida,-84.2779,30.458,295335,1,1,0,0,0,1,0,county,0,0,1,0,,,6/7/25,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency,
12073,Leon,Florida,-84.2779,30.458,295335,2,1,1,0,0,2,0,county,0,0,1,1,,,6/28/25,,Leon second case,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,
12011,Broward,Florida,-80.4871,26.1523,1946127,2,0,2,0,0,2,0,county,1,0,0,1,,,8/16/25,,,https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency,
12011,Broward,Florida,-80.4871,26.1523,1946127,1,0,1,0,0,1,0,county,1,0,0,0,,,4/22/25,,"A child between the age of 0 (used to refer to newborns) and 4 contracted measles from outside of the U.S. in April in Broward County,",https://www.flhealthcharts.gov/ChartsReports/rdPage.aspx?rdReport=FrequencyMerlin.Frequency&FirstTime=True,
